;CODIGO;D E T A L L E ;Recuento;;;;;;
;215-1915-R;MEDIA LUZ NISSAN SUNNY 90 ;2;;;;;Stop HILUX Mod. 98~2000;1
;215-1926-X-CR-L;MEDIA LUZ NISSAN SUNNY 90 ;1;;;;;Stop HILUX SUF 96;0
;315-1534-PXA;Media luz Nissan SUNNY SENTRA B13 Mod.1990~1991~ TSURU-III USA ;1;;;;;Stop HILUX VIGO Mod. 2011~2012~2013~2014 Tailandes;3
;315-1927-L;Media luz Nissan SUNNY SENTRA B13 Mod.1990~1991~ TSURU-III USA ;2;;;;;Stop HILUX VIGO REVO   Mod. 2015~2016~2017~2018. DEPO;1
;214-19A1-R;Media luz PAJERO MONTERO Mod. 92~93~94;2;;;;;Stop HONDA CRV;2
1112;214-1941-L;Media luz PAJERO MONTERO Mod. 94~95~96~97;1;;;;;Stop HONDA EG;2
;214-1941-R;Media luz PAJERO MONTERO Mod. 94~95~96~97;1;;;;;Stop HONDA EK;0
;315-1934-PTU-VC;Media luz PATHFINDER Mod.96~2000         USA     Cromado;1;;;;;Stop HONDA VARIOS;0
985;3162-L;Media luz PATHFINDER Mod.96~2000         USA     Cromado;1;;;;;Stop HYUNDAI H1 STAREX 2008~09~10~11~12~13~14~15~16~2017;1
;13-29-L;Media luz PATHFINDER REGULOS;;;;;;STOP HYUNDAI I10 2011-2012;0
785;13-29-R;Media luz PATHFINDER REGULOS;;;;;;STOP HYUNDAI I10 2014-2016;1
290;3485-R;Media luz PRESEA VERIFICAR BLUE BIRD;;;;;;Stop IMPREZA;0
275;3488-2-R;Media luz PRESEA VERIFICAR BLUE BIRD;;;;;;Stop INTEGRA HONDA;0
;212-1580-K-R;Media luz RUNNER Mod.88~89~90~91~92 Cromado;1;;;;;Stop IO;0
47;212-1592-L;Media luz SPRINTER Mod. 87~88~89~90~;1;;;;;Stop IPSUM;0
;212-1592-B-K-L;Media luz STARLET Mod.84~87;1;;;;;Stop ISUZU LUV Mod.89~90~91~92~93~94~95~96 CROMADO Camioneta KB42 ;2
;212-1592-B-K-R;Media luz STARLET Mod.84~87;1;;;;;Stop ISUZU LUV Mod.89~90~91~92~93~94~95~96 NEGRO Camioneta KB42 ;1
100;220-1608 pxa-R;Media luz SUBARU  IMPREZA  4D~5D Mod. 97~99.     Amarillo      PAR;1;;;;;Stop ISUZU TROOPER 92~93~94~95~96~97~98~99~00~01~02 Wagon;1
;320-1506-R;Media luz Subaru FORESTER  Mod. 98~99~00~01~02~03~2004~2005;1;;;;;Stop JEEP GRAN CHEROKEE 84~85~86~87~88~89~93~94~95~96~;6
420;3200-L;Media luz Subaru FORESTER  Mod. 98~99~00~01~02~03~2004~2005;1;;;;;Stop jimmy led;2
1078;3429-L;Media luz subaru Forester original blanco;1;;;;;Stop KIA RIO IV  Mod. 2016~2017~2018~2019~2020~;2
1079;3429-R;Media luz subaru Forester original blanco;1;;;;;Stop KIA RIO IV Mod. 2016~2017~2018~2019~2020~ ;0
1047;220-20491-R;Media luz SUBARU IMPREZA 4D~5D Mod. 97~99 Naranja;;;;;;Stop LAND CRUISER FJ100 Mod 2005~2006~ ;1
;214-1119PXRD-2;Media luz SUNNY B11;;;;;;Stop LAND CRUISSER  FJ75 Mod.84~85~86~87~88 Wagon;1
;214-1119-R;Media luz SUZUKI SWIF VERIFICAR;;;;;;Stop LAND CRUISSER  FJ82  Mod. 93~94~95~96~97 ;3
839;28-97-R;Media luz TOWN ACE 78;1;;;;;Stop LAND CRUISSER  FJ82  Mod. 93~94~95~96~97 JAPONES;2
838;28-97-L;Media luz TOWN ACE 78 ;1;;;;;Stop LAND CRUISSER DINA Mod.74~81 UNIVERSAL;2
;312-1549-PXU-L;Media luz Toyota 4RUNNER Mod. 96;;;;;;Stop LAND CRUISSER FJ60/62 Mod. 81~89 Wagon  ;1
;312-1549-PXU-R;Media luz Toyota 4RUNNER Mod. 96;;;;;;Stop LAND CRUISSER FJ70-LT79 Mod. 93~2020 Wagon;3
;212-15F4-L;MEDIA LUZ TOYOTA CALDINA;;;;;;Stop LEVIN AE 92;0
;212-15F4-R;MEDIA LUZ TOYOTA CALDINA;1;;;;;Stop LEVIN TOYOTA LEVIN 90;1
1074;212-1611-L;Media luz Toyota COROLLA CARIB Mod.98~ Redondo  ROSSO;3;;;;;Stop LEVN 92;0
1075;212-1611-R;Media luz Toyota COROLLA CARIB Mod.98~ Redondo  ROSSO;4;;;;;Stop LITE ACE  212-1983;0
;212-1670-R;Media luz Toyota HIACE Mod.84~89;;;;;;Stop LITE ACE 212-1983;0
;212-1580-R;Media luz Toyota HIACE Mod.90~02;4;;;;;Stop MARCH  ;0
181;2960-L;Media luz TOYOTA LITE ACE 212-1516 MOD 82;;;;;;Stop Mazda BT-50 Mod.2012~2014 Pick Up Camioneta;0
182;2960-R;Media luz TOYOTA LITE ACE 212-1516 MOD 82;1;;;;;Stop MAZDA BT-50 Mod.2015~2016~2017~2018~2019~2020;1
1171;87017;Media luz Toyota NOAH Mod.96~97~98 212-15H2-K;1;;;;;Stop MIRAGE SPACE STAR  Mod. 2012~2013~2014~2015  ;1
;212-1647-R;Media luz Toyota PRADO CRISTAL FJ90/LJ95 Mod.2000~2001~2002;;;;;;STOP MITSUBISHI CARISMA 97-99;0
;212-1654-L;Media luz Toyota PRADO CRISTAL FJ90/LJ95 Mod.2000~2001~2002;1;;;;;Stop MITSUBISHI CHARIOT GRANDIS;0
;215-1926-X-CR-R;Media Luz URVAN CARABAN CUSTOM EUROPEO. 87~88~94~95~2001;1;;;;;Stop MITSUBISHI COULT 3 1989;2
950;215-1942-R;Media Luz URVAN CARABAN CUSTOM EUROPEO. 87~88~94~95~2001;1;;;;;Stop MITSUBISHI GALANT ;0
;215-1968-PXA-R;Media luz X-TRAIL Mod. 2001 ~ 2005 ;1;;;;;Stop MITSUBISHI JUNIOR;2
85;218-1136-L;MIEDIA LUZ HONDA CIVIC 88;;;;;;Stop Mitsubishi LANCER Mod. 92~93~94~95~96 LIBERO;1
86;218-1136-R;MIEDIA LUZ HONDA CIVIC 88;1;;;;;STOP MITSUBISHI MONTERO BORDE NEGRO ;2
;00-212-1647-L;"Mu;on  ";2;;;;;Stop Mitsubishi MONTERO PAJERO Mod. 2007~2008;1
;00-212-1951-L;"MU;ON SUPENCION BUFALO";12;;;;;Stop MITSUBSHI DELICA;0
;SPTY;"MU;ON SUPENCION HILUX 92";1;;;;;Stop MONTERO 214-1922;2
;870043;"Mu;on suspencion inferior KING LONG 2018";8;;;;;Stop MONTERO Mod. 92~93~94~95~96~97 Cromado;1
;860110;Muñón de dirección / Terminal YOITOKI. SE-2651;54;;;;;Stop MONTERO Mod. 92~93~94~95~96~97 Negro;2
1011;MD-VARIOS;Muñon DE DIRECCION VARIOS;;;;;;Stop MONTERO Mod. 92~93~94~95~96~97 TUNING PARTS    PAR;3
18;860046;MUÑON DE ESTAB.  NISSAN B12/B13;1;;;;;Stop MONTERO NATIVA 2000~01~02~03~04~05~09~10~11~12~13~2014;1
;860044;Muñon de Estabilizador RUNNER YOITOKI Universal;1;;;;;Stop NA 20 URVAN 215-1942;2
1012;MS-VARIOS;Muñon DE SUSPENCION  VARIOS;;;;;;Stop nissan AD 99 wingroad;2
25;860073;Muñon de suspensión NOAH ~ LITEACE Superior YOITOKI Sin grasera blindado;15;;;;;Stop NISSAN AD WAGON ;0
;860093;Muñon de suspension VANETTE BONGO Superior 00-06;11;;;;;Stop NISSAN AD Y10;1
1168;860121;Muñon DIRECCION 124848;2;;;;;Stop Nissan ATLAS / CABSTAR H40 Mod.94 Camion;2
1158;860119;Muñon DIRECCION CALDINA R;;;;;;Stop NISSAN B11 LARGO;0
4;124848;Muñon DIRECCION COROLLA 78;;;;;;Stop NISSAN CUSTOM E 24;2
1152;860142;Muñon DIRECCION HIACE CHINO ROSCA 15;40;;;;;STOP NISSAN FRONTIER PICK UP MODELO 97-98-99-00-01 TUNING;2
;671070;Muñon DIRECCION HIACE CUADRADO /HILUX 89;;;;;;Stop NISSAN MARCH 97 a rayas ;2
;AM07009HB-R;Muñon DIRECCION HIACE ROSCA 15;2;;;;;Stop Nissan PATROL ~ SAFARI  Mod. 2000~2004  NEW;2
;860122;Muñon DIRECCION LOBO ROSCA 17;;;;;;Stop NISSAN PHATFINDER ;1
28;870014;Muñon DIRECCION LUCIDA;1;;;;;Stop Nissan PICK-UP Camioneta Minidatsun;2
;860326;Muñon DIRECCION NISSAN LUCIDA;1;;;;;Stop Nissan PICK-UP Mod.86/93/97 Camioneta  ROJO Y BLANCO;4
1167;860128;Muñon DIRECCION PROBOX;2;;;;;Stop NISSAN PULSAR ;0
;870026;Muñon DIRECCION SUZUKI SX4 SWIFT;;;;;;Stop NISSAN SERENA;0
;860271;MUÑON ESTABILIZADOR DEL TOY RAV4 96/98;2;;;;;STOP NISSAN SKYLINE ;0
;860050;Muñon Estabilizador largo NOAH SUZUKI;;;;;;Stop NISSAN SUNNY B12;0
11;860033;MUÑÓN ESTABILIZADOR LARGO UNIVERSAL ;47;;;;;Stop NISSAN SUNNY B13 DOBLE LINEA 215-1991;3
;860155;Muñon Estabilizador PROBOX;1;;;;;Stop Nissan SUNNY SENTRA B12 Mod.87~88~89  ;2
1139;R-KEYTON;Muñon KEYTON ;;;;;;Stop Nissan URVAN Mod.90~ E24 Minibus E2;0
1179;870027;Muñon KING LONG ;;;;;;STOP ORIGINAL DELICA;2
;860301;Muñon Muñon RUNNER;;;;;;STOP PATROL 2002;2
1178;870028;Muñon SIRECCION KING LONG ROSCA 14;26;;;;;Stop PRELUDE ;0
;860065;Muñon SUSPENCIO HIACE INFERIOR;23;;;;;Stop PRESSEA ;2
695;4339-R;MUÑÓN SUSPENCION HIACE SUP SON PERNOS;9;;;;;Stop RAV 4 ADVANTAGE  Mod. 2001~2002~2003~2004~ Tipo Europeo Manual;1
;860016;MUÑÓN SUSPENCION HILUX 92;2;;;;;Stop rav4 97;2
;00-212-1951-R;MUÑÓN SUSPENCION HYUNDAI H1 FURGON CAPTIVA CHEVROLET BONGO CAMIONETA;2;;;;;Stop REFLEX EP91;0
;870124;MUÑÓN SUSPENCION INF MONTERO SPORT DELICA ;;;;;;STOP RENAULT CAPTUR;0
;00-212-1647-R;MUÑÓN SUSPENCION MONTERO NATIVA PAJERO TRITON GALOPER;2;;;;;Stop Renault DUSTER  Mod.2013~2014~2015~2016~;1
;860075;Muñon SUSPENCION NISSAN CHANCHO;8;;;;;Stop Renault DUSTER Mod.2013~2014~2015;2
38;870122;MUÑON suspencion superior  NATIVA IO TRITON  PAJEROMONTERO ;4;;;;;STOP RENAULT KIWID;0
;860066;MUÑÓN SUSPENCION SUPERIRO HIACE LOBO ;6;;;;;Stop Renault KOLEOS Mod.2008~2009~2010~2011~2012~13~2014~2015~;2
24;860072;MUÑÓN SUSPENCION TOYOTA TERCEL ;;;;;;Stop Renault SANDERO STEPWAY Mod. 2012~2013~2014~2015;0
26;860090;MUÑÓN SUSPENCION VANNETE BONGO INFERIOR MAZDA;3;;;;;Stop RVR 92 ;2
1163;860070;Muñon SUSPENO DEL PROBOX;6;;;;;Stop RVR BI COLOR;0
1149;860062;Muñon SUSPENSIÓN CALDINA 97;63;;;;;Stop SENTRA Mod. 92~93 Auto;2
;860061;Muñon SUSPENSIÓN COROLLA 90 L;34;;;;;Stop SOLEI EP82;0
21;860060;Muñon SUSPENSIÓN COROLLA 90 R;5;;;;;Stop SOLEI EP82 ;0
1175;860100;Muñon SUSPENSION HIACE CUADRADO ;12;;;;;Stop SPRINTER 93;0
737;4340-L;Muñon SUSPENSIÓN HIALUX 92 SUPERIOR MARCA BIG;3;;;;;Stop stanley;4
1160;860069;Muñon SUSPENSIÓN INFERIOR NOAH LITE ACE;18;;;;;Stop STARLET;1
1184;43330-39245-SUP;Muñon SUSPENSIÓN LAND CRUISER;;;;;;Stop STARLET EP82;0
;860063;Muñon SUSPENSIÓN MINIBUS URVAN 90 ABAJO;31;;;;;Stop STARLET EP82 TURBO;0
22;860064;Muñon SUSPENSIÓN MINIUS NISSAN URVAN 90 ;21;;;;;Stop starlet gt glanza;2
1166;860067;Muñon SUSPENSIÓN RAV 4 ;;;;;;Stop SUABU DOMINGO;1
;43350-29065;Muñon TOYOTA HILUX  STOUT INFERIOR;;;;;;Stop SUABU DOMINGO RASPADILLO EF 12;1
1156;43350-39125;Muñon TOYOTA HILUX  STOUT SUPERIOR;;;;;;Stop SUBARU 97;0
1157;860127;MuñonES SUSPENSIÓN PROBOX ISQUIERDO;;;;;;Stop SUBARU DOMINGO;0
9;860029;NUCLEO DE TRICETA TOY.AE80 23*24*23;8;;;;;STOP SUBARU IMPREZA ROJO BLANCO WAGON ;0
10;860030;PALIER COMPLETO TOYOTA IPSUM;3;;;;;Stop SUBARU LEGACY 92 VERIFICAR MOD;0
;DS07055GB;PARACHOQUE ;;;;;;Stop SUNNY B13 215-1967;1
;850022;Parachoque CARINA VERIFICAR;;;;;;Stop SUNNY SENTRA Mod. ~2000~2001~2002~2003~2004;1
197;5259-L;Parachoque COROLLA 98 SALOM;;;;;;Stop SUNNY SENTRA Mod.92~93~94~95~96~97~98~99~2000~01~2002;1
;71811-65D30;Parachoque DEL GRAN VITARA 99 SZ04050BA;;;;;;STOP SUZUKI APV PASAJEROS;0
1003;52119-16280;Parachoque DEL HILUX 93 METALICO 212-1638;;;;;;Stop Suzuki SAMURAI;0
599;PD-IO;Parachoque DEL MITSUBISHI IO ;;;;;;STOP SUZUKI VITARA XL7 CRISTALIZADO ;3
267;6219-L;Parachoque DEL NISSAN CUSTOM NA20 ( BLANCO / PLOMO);;;;;;Stop Suzuqui  VITARA/ESCUDO 90/9..;1
1095;6207C3;Parachoque DEL NISSAN SUNNY B14 ( VERDE / BLANCO );;;;;;Stop Suzuqui CARRY EVERY WAGON Mod.2003~2004    SUZUQUI  APV;1
601;PD-JUNIOR;Parachoque DEL PAJERO JUNIOR ;;;;;;Stop Suzuqui ERTIGA Mod. 2011 2012~2013~2014;1
605;PD-STARLET92;Parachoque DEL STARLET PLOMO CON Alogeno;;;;;;Stop Suzuqui GRAN VITARA Mod.2005 Cristal 2;2
607;PD-SURF96;Parachoque DEL SURF HILUX METALICO 96 TY40165;;;;;;"Stop Suzuqui PRONTO 99/2000 EVERY 2000 ""SUZUKI"" Zapatito  Blanco/Rojo";1
870;SZ04011BA;Parachoque DEL SUZUKI VITARA ESCUDO ( 3 PuertaS ) TYG;;;;;;Stop Suzuqui SWIFT Mod. 90 CULTUS;1
608;PD-ESCUDO;Parachoque DEL SUZUKI VITARA ESCUDO FIBRA;;;;;;Stop Toyota 4RUNNER Mod. 2013~2014~2015~2016~2017. LED;0
189;5277-R;Parachoque DEL TOYOTA CALDINA GT / CON Alogeno;;;;;;STOP TOYOTA CALDINA A MUELLE ROJO BLANCO ;0
600;T10-TS0P;Parachoque DEL TOYOTA LEVIN 96;;;;;;Stop TOYOTA CARINA 91;0
591;52119-21020;Parachoque DELANTERO CORSA;1;;;;;Stop TOYOTA COROLLA 212-1935-1;1
;MB04027;PARACHOQUE LANCER;;;;;;Stop Toyota COROLLA Mod 2014~2015~2016~2017~2018~2019  ;1
;TY04088BA;PARACHOQUE RAV 4 97;1;;;;;STOP TOYOTA CORONA 1983 (rojo / Naranja);0
1193;52119-1E500;PARACHOQUE SPACIO ;1;;;;;Stop TOYOTA CORONA con retro;1
;P-SUB-DOM-92;Parachoque Subaru Domingo ;1;;;;;Stop Toyota HIACE Mod. 90~ minibus LOBO;1
2;120079;Parachoque SUBARU FORESTER DELANTERO FIBRA TYPE;1;;;;;Stop TOYOTA LEVIN ;0
;120654;Parachoque SUBARU FORESTER TRASERO FIBRA TYPE ;1;;;;;Stop Toyota PRADO CRISTAL TUNING 95/99 FJ90 VAGONE;2
592;PT-CALDINA;Parachoque TRAS CON SPOILER TOYOTA CALDINA GT ;;;;;;Stop TOYOTA SINOS VERIFICAR;0
604;PT-STARLET92;Parachoque TRAS EP82 GT ;;;;;;Stop TOYOTA SUCCED 212-19Y002;0
606;PT-FORESTER;Parachoque TRAS FORESTER 97 ;;;;;;Stop TOYOTA TERCEL;2
936;197001;Parachoque TRAS MAZDA BONGO ;;;;;;Stop TOYOTA WINDOWN;0
602;PT-JUNIOR;Parachoque TRAS MITSUBISHI JUNIOR;;;;;;Stop TRUENO 90 ;0
594;PT-E25;Parachoque TRAS NISSAN CARAVAN K20  CHANCHO;;;;;;Stop TRUENO 90  AE92;0
595;PT-AE91;Parachoque TRAS TOYOTA COROLLA 90 SEDAN ;;;;;;Stop TRUENO 96;1
603;PT-EVO6-F;Parachoque TRASERO EVO 6 FIBRA;;;;;;Stop universal BUS 2000 Claro;2
1005;PT-FORESTER2000;Parachoque TRASERO FORESTER 2000;;;;;;Stop VERIFICAR;0
;MB574333;PARACHOQUE TRASERO MITSUBISHI EVO 9;;;;;;Stop VIATARA ESCUDO;1
1002;PT-SURF96;Parachoque TRASERO SURF 96 3 PIEZAS;;;;;;Stop VITARA CHEVROLET TRACKER     Mod.98~03;1
566;72111-77E00;PARACHOQUE TRASERO SUZUKI GRAN VITARA ;;;;;;Stop VITARA ESCUDO ;1
;C-860064;Pastilla DE FRENO NAKHATAM SUABRU STI;;;;;;Stop VITARA Mod. 2015~2016~2017;0
;C-860039;Pastilla DE SUBARU FRENO ;;;;;;Stop VITZ;1
20;860048;Perno barra estabilizador Turinng Mod. 97~98~99~  Largo  TERRANO;;;;;;Stop Volkswagen AMAROK Mod.2009~2010~2011~2012~    Manual Negro;4
;603252;PERNO ESTABILIZADOR MEDIANO TOY UNI 14 PC 164,5MMX8MM);20;;;;;Stop Volkswagen GOLD Mod.2013~2014~2015~2016~ 5 puertas ;2
922;PIS-VAR;PISADERA DE SUBARU FORESTER VARIOS;;;;;;Stop Volkswagen SAVEIRO Mod. 2010~2011~2013~2014~2015;0
;PALOGENOS-MIT-JUN;PORTA ALÓGENOS MITSUBISHI JUNIOR SOBRE EL PARACHOQUE;;;;;;Stop-LANCER 92 214-1942;0
613;76801-35030;Porta placa  CELICA 90-93;;;;;;SWITCH SUZUKI VITARA ESCUDO DERECHO ;0
611;MR-275638;Porta placa CHARIOT GRANDIS;;;;;;Tacometro;0
630;8030-L;Porta placa DE Maletera SURF;;;;;;Tapa central de tablero subaru forester;6
;870017;PRECAP NISSAN CARAVAN ROTULA CHANCHO;8;;;;;Tapa de alogeno subaru forester 97-2000 NEGRO;0
;SZC-527;PRENSA EXEDY SUZUKI APV;;;;;;Tapa de alogeno subaru forester 97-2001 BLANCO;6
1204;FJC506;Prensa Subaru DOMINGO;;;;;;Tapa de alogeno subaru forester 97-2001 GRID PLOMO;0
617;PU-EVO6-D-R;Puerta MITSUBISHI LANCER EVOLUTION 6 ( Delantero Derecho );;;;;;Tapa de alogeno subaru forester 97-2001 GRIS PLOMO;0
616;PU-EVO6-D-L;Puerta MITSUBISHI LANCER EVOLUTION 6 ( Delantero Isquierdo );;;;;;Tapa de alogeno subaru forester 97-2001 NEGRO;0
619;PU-EVO6-T-R;Puerta MITSUBISHI LANCER EVOLUTION 6 ( Trasero Derecho );;;;;;Tapa de alogeno subaru forester 97-2001 SIN LOGO;0
618;PU-EVO6-T-L;Puerta MITSUBISHI LANCER EVOLUTION 6 ( Trasero Isquierdo );;;;;;TAPA DE CARBONO DE MOTOR LEGACY ;1
620;PU-FORESTER-D-R;Puerta SUBARU FORESTER ( Delantero Derecho );;;;;;TAPA DE FRENO DE MANO COROLLA AE86;0
622;PU-FORESTER-T-R;Puerta SUBARU FORESTER ( Trasero Derecho );;;;;;TAPA DE HALOGENO IMPREZA;6
621;PU-FORESTER-T-L;Puerta SUBARU FORESTER ( Trasero Isquierdo );;;;;;TAPA DE STOP NISSAN CUSTOM FIBRA;4
624;PU-GVITARA-D-R;Puerta SUZUKU GRAN VITARA 99 JUEGO DE ( Delantero Derecho );;;;;;Tapa de TABLERO FORESTER 97-2000 FIBRA;0
623;PU-GVITARA-D-L;Puerta SUZUKU GRAN VITARA 99 JUEGO DE ( Delantero Isquierdo );;;;;;Tapabarro FORESTER Mod. 98~99~2000~2001~2002;0
626;PU-GVITARA-T-R;Puerta SUZUKU GRAN VITARA 99 JUEGO DE ( Trasero Derecho );;;;;;TAPABARRO HILUX SURF ;0
625;PU-GVITARA-T-L;Puerta SUZUKU GRAN VITARA 99 JUEGO DE ( Trasero Isquierdo );;;;;;Tapabarro lancer 2006;2
627;PU-IPSUM-D-L;Puerta TOYOTA IPSUM ( Delantero Isquierdo );;;;;;TERCERA LUZ DE SUZUKI AWIFT 2017;0
;PT-B13-R;PUERTA TRASERA B13;1;;;;;TERMINAL DE DIRECCION NISSAN E25 SE-4971;10
632;RAD-JUNIOR;Radiador MITSUBISHI JUNIOR;;;;;;TERMINAL DIREC TOY KE70 LARGO CURVEADO;0
;215-1510;Radiador NISSAN URVAN 01-06 E25;;;;;;TERMINAL DIREC.  NISSAN E24 1991-2002 L/R;12
;TY37023A;Radiador RAV-4 Mod. 96~97~98~99~2000 L4/2.0 AT;1;;;;;TERMINAL DIREC. TOY KE70 78/87 T/TRAS CORTO;2
635;RAD-CALDINAGT;Radiador TOYOTA GT CALDINA;;;;;;TOMA AIRE FORESTER;1
;214-1119-L;REFLECTOR FJ40;7;;;;;TOMA AIRE IMPREZA;1
;REJ-C-SUB;Rejilla de Capot subaru impreza de carbono;4;;;;;TOMA DE AIRE TSUNAMI SUBARU FORESTER ;0
822;53-07601-R;RETROVISOR DE CAPO TOYOTA HILUX SURF ;1;;;;;TOMA DE AIRE TSUNAMI SUBARU IMPREZA ;0
256;N26-L;Retrovisor Nissan Silvina 513;;;;;;TOMA DE AIRE TSUNAMI UNIVERSAL CARBONO ;0
269;8112-L;RETROVISOR NISSAN SKYLINE R32;;;;;;TOYOTA ;0
270;8112-R;RETROVISOR NISSAN SKYLINE R32;;;;;;TOYOTA EP82;0
;TY8002B-L;RETROVISOR TOYOTA HILUX MILENIUM CROMADO ;;;;;;TRACERO DERECHO ;1
268;6219-R;RODAMIENTO Motor F12;;;;;;TURBO NUEVO SUBARU EJ20 TURBO ;0
1096;PJ18;RODAMIENTO SUBARU;1;;;;;TURBO TD04;0
;312-1141-L;RODAMIENTO SUBARU EJ 20 SIN TURBO ;;;;;;UNIVERSAL ;0
;400403;RÓTULA HIACE LOBO 14X17;84;;;;;VARIOS VERIFICAR;0
1138;860096;ROTULA/MUÑON  SUSPENSION INFERIOR NISSAN TERRANO 1996-1999 L/R;2;;;;;Velocimetro SUBARU forester;0
23;860071;ROTULA/MUÑON  TOY STARLET CARAT GLANZA 95/98 R;1;;;;;Velocimetro SUBARU impreza;0
;860074;ROTULA/MUÑON SUSPENSION NISSAN NOTE 2002-2006 L/R;24;;;;;Velocimetro SUBARU lite ace;0
1048;13-28-R;RVR CON PLANXHA;1;;;;;Vidrio de farol COROLLA Mod. 92~95;3
866;SCOOTER;SCOOTER;;;;;;0;156
867;SCOOTER-CA;SCOOTER CASCO;;;;;;Total;1681
1136;2618;SET;1;;;;;;
;317-1509PXA;SET;;;;;;;
;214-1140-R;STOP ;1;;;;;;
;214-1146-R;Stop  TF D-MAX Mod.2002~2003~2004~2005~2006~2007;2;;;;;;
;212-19D5PXA-L;Stop 4RUNNER Mod.88~91 ;1;;;;;;
;212-19D5PXA-R;Stop 4RUNNER Mod.88~91 ;1;;;;;;
640;220-51328-R;Stop AD 2006 215-194305;1;;;;;;
691;4294-L;Stop ATLAS 215-1915;;;;;;;
1176;43310-39016;Stop ATLAS 215-1915;;;;;;;
660;220-61871-R;Stop ATRAIL ;;;;;;;
726;220-63436-R;Stop ATRAIL ;;;;;;;
1183;43330-39245-INF;Stop B11 CORTO;1;;;;;;
992;1132-215-R;Stop B14 NISSAN ;;;;;;;
155;114-20257-TW-R;Stop B14 NISSAN ;1;;;;;;
278;4766-L;Stop BLUBIRT 96 ;1;;;;;;
;4779-L;Stop BLUBIRT 96 ;1;;;;;;
;220-75539-L;Stop BONGO ;1;;;;;;
823;220-75539-R;Stop BONGO ;1;;;;;;
749;J21-L;Stop BOXY NOAH;1;;;;;;
750;J21-R;Stop BOXY NOAH;1;;;;;;
;212-19W6-L;Stop CALDINA 93;1;;;;;;
;7362-R;Stop CALDINA A MUELLE ;;;;;;;
1201;13-42-R;Stop CALDINA GT;;;;;;;
766;13-55-L;Stop CALDINA GT;1;;;;;;
966;7426-L;Stop CALDINA TURING;;;;;;;
967;7426-R;Stop CALDINA TURING;;;;;;;
609;71711-85D30;Stop CARIB 80 ;;;;;;;
;71741-80G00;Stop CARIB 80 ;;;;;;;
473;12-372-L;Stop CARIB 90 ;;;;;;;
474;12-372-R;Stop CARIB 90 ;;;;;;;
795;16-115-R;Stop CARIB BZ CROMADO ;;;;;;;
963;16-45-L;Stop CARIB BZ CROMADO ;;;;;;;
1119;2068-R;Stop CARINA;1;;;;;;
1041;2074-L;Stop CARINA;1;;;;;;
;53-08409-R;Stop CARINA92;1;;;;;;
806;53-12003-L;Stop CARINA92;1;;;;;;
;33-09311-L;Stop CELICA 90;;;;;;;
987;21-35-L;Stop CELICA 99;;;;;;;
988;21-35-R;Stop CELICA 99;;;;;;;
707;4188-L;Stop CHANCHO CARAVAN ;1;;;;;;
708;4188-R;Stop CHANCHO CARAVAN ;1;;;;;;
1072;3353-L;Stop chevroletCOLORADO PICK UP GMC CANYON 2004~05~09~10~2011;1;;;;;;
;212-1974-R;Stop COHASTER 84/90;2;;;;;;
;212-1989-L;Stop COHASTER 84/90;2;;;;;;
369;05-31-R;Stop COLT MITSUBISHI;;;;;;;
465;05-32-L;Stop COLT MITSUBISHI;;;;;;;
1009;16X7JJ-5;Stop COROLLA 2 ;;;;;;;
288;1739-R;Stop COROLLA 2 ;1;;;;;;
851;12-301-R;Stop COROLLA 78;;;;;;;
799;12-327-R;Stop COROLLA 83 212-1915;1;;;;;;
345;1478-L;Stop COROLLA 89;;;;;;;
344;1478-R;Stop COROLLA 89;;;;;;;
;212-19F9-R;Stop corolla 90;3;;;;;;
;212-19H2-L;Stop corolla 90 ;3;;;;;;
;12-84-R;Stop COROLLA 90 212-1954;;;;;;;
715;33-10505-L;STOP COROLLA 92;1;;;;;;
836;33-09803-L;Stop COROLLA 92 212-1967;1;;;;;;
837;33-09803-R;Stop COROLLA 92 212-1967;;;;;;;
;212-1955-L;Stop COROLLA AE80 Mod. 84~85~86~87 AMARILLO ABAJO;;;;;;;
;212-1955-R;Stop COROLLA AE80 Mod. 84~85~86~87 AMARILLO ABAJO;1;;;;;;
853;12-319-R;Stop COROLLA KE70;;;;;;;
385;12-322-R;Stop COROLLA KE70;;;;;;;
480;12-324-R;Stop COROLLA KE75 212-1913;;;;;;;
;212-19B9-R;Stop COROLLA Mod. 92-94 Auto;1;;;;;;
;212-19L4-L;Stop COROLLA Mod. 92~94~95~96~97  Auto    AE - 110;1;;;;;;
;212-19L4-R;Stop COROLLA Mod. 92~94~95~96~97  Auto    AE - 110;2;;;;;;
;212-2050-L;Stop COROLLA Mod. 98~2000                ;1;;;;;;
847;212-19Y002-U-R;Stop COROLLA Mod.98~99~2000  Auto    AE - 110;1;;;;;;
;20-120-R;Stop COROLLA2;;;;;;;
782;20-139-L;Stop COROLLA2;;;;;;;
1021;10-85-R;Stop CORONA 1 COLOR ;;;;;;;
;20-316-L;Stop CORONA 90 ;;;;;;;
470;20-317-R;Stop CORONA 90 ;;;;;;;
486;20-271-R;Stop CORONA 90 2 COLORES;1;;;;;;
768;20-274-L;Stop CORONA 90 2 COLORES;1;;;;;;
763;20-222-R;Stop CORONA 90 3 COLORES;;;;;;;
373;20-260-R;Stop CORONA 90 3 COLORES;;;;;;;
816;33-1300-L;Stop CORONA 99;;;;;;;
